"Match","MatchTeams","Team","Player","Opponent","Player Opponent","Position","Position Opponent","Champion","Champion Opponent","Kills","Kills Opponent","Deaths","Deaths Opponent","Assists","Assists Opponent","Creep Score","Creep Score Opponent","Gold Earned","Gold Earned Opponent","Champion Damage Share","Champion Damage Share Opponent","Kill Participation","Kills Participation Opponent","Wards Placed","Wards Placed Opponent","Wards Destroyed","Wards Destroyed Opponent","Ward Interactions","Wards interactions Opponent","Dragons For","Dragons For Opponent","Dragons Against","Dragons Againts Opponent","Barons For","Barons For Opponent","Barons Against","Barons Against Opponent","Winner"
"Match3","BYGvsGS","BYG","Pk","GS","Crazy","Top","Top","Jarvan","Kennen","1","6","6","3","2","8","189","234","9150","14529","0.16","0.31","0.33","0.82","13","7","12","14","25","21","3","2","2","3","0","1","1","0","GS"
"Match3","BYGvsGS","BYG","Husha","GS","Mojito","Jungle","Jungle","Xin Zhao","Qiyana","3","5","3","2","2","9","177","204","10050","12685","0.2","0.23","0.56","0.82","13","13","16","10","29","23","3","2","2","3","0","1","1","0","GS"
"Match3","BYGvsGS","BYG","Maoan","GS","Bolulu","Mid","Mid","Orianna","Ryze","2","0","4","2","3","7","287","285","12444","12463","0.16","0.12","0.56","0.41","18","16","7","2","25","18","3","2","2","3","0","1","1","0","GS"
"Match3","BYGvsGS","BYG","Doggo","GS","Alive","Adc","Adc","Ezreal","Miss Fortune","3","5","2","2","1","5","382","349","14682","15344","0.41","0.24","0.44","0.59","14","16","8","18","22","34","3","2","2","3","0","1","1","0","GS"
"Match3","BYGvsGS","BYG","Kino","GS","Zergsting","Support","Support","Braum","Bard","0","1","2","0","5","10","39","22","7154","8568","0.08","0.1","0.56","0.65","60","61","14","19","74","80","3","2","2","3","0","1","1","0","GS"
"Match10","DFMvsUOL","DFM","Evi","UOL","Boss","Top","Top","Gnar","Jayce","1","4","2","4","8","3","239","267","11883","14533","0.13","0.28","0.47","1","15","12","7","9","22","21","4","1","1","4","2","0","0","2","DFM"
"Match10","DFMvsUOL","DFM","Steal","UOL","Ahahacik","Jungle","Jungle","Talon","Lee Sin","6","0","1","2","5","3","209","178","12984","10182","0.18","0.11","0.58","0.43","15","21","18","12","33","33","4","1","1","4","2","0","0","2","DFM"
"Match10","DFMvsUOL","DFM","Aria","UOL","Nomanz","Mid","Mid","Leblanc","Orianna","4","1","0","6","7","4","298","294","15251","12248","0.36","0.35","0.58","0.71","6","14","10","5","16","19","4","1","1","4","2","0","0","2","DFM"
"Match10","DFMvsUOL","DFM","Yutapon","UOL","Argonavt","Adc","Adc","Miss Fortune","Lucian","7","2","1","4","6","2","355","284","17214","12808","0.27","0.21","0.68","0.57","13","13","22","3","35","16","4","1","1","4","2","0","0","2","DFM"
"Match10","DFMvsUOL","DFM","Gaeng","UOL","Santas","Support","Support","Leona","Rakan","1","0","3","3","12","6","32","36","8700","7139","0.06","0.05","0.68","0.86","67","56","9","13","76","69","4","1","1","4","2","0","0","2","DFM"
