"Match","MatchTeams","Team","Player","Opponent","Player Opponent","Position","Position Opponent","Champion","Champion Opponent","Kills","Kills Opponent","Deaths","Deaths Opponent","Assists","Assists Opponent","Creep Score","Creep Score Opponent","Gold Earned","Gold Earned Opponent","Champion Damage Share","Champion Damage Share Opponent","Kill Participation","Kills Participation Opponent","Wards Placed","Wards Placed Opponent","Wards Destroyed","Wards Destroyed Opponent","Ward Interactions","Wards interactions Opponent","Dragons For","Dragons For Opponent","Dragons Against","Dragons Againts Opponent","Barons For","Barons For Opponent","Barons Against","Barons Against Opponent","Winner"
"Match1","BYGvsUOL1","BYG","Kino","UOL","Santas","Support","Support","Rakan","Nautilus","0","0","2","4","14","2","37","37","6957","4985","0.04","0.07","0.74","0.29","32","31","13","4","45","35","1","1","1","1","1","0","0","1","BYG"
"Match2","BYGvsUOL2","BYG","Liang","UOL","Boss","Top","Top","Tahm Kench","Jayce","4","5","0","6","7","3","285","256","14704","14213","0.16","0.3","0.58","0.57","13","17","10","4","23","21","4","1","1","4","1","1","1","1","BYG"
"Match2","BYGvsUOL2","BYG","Husha","UOL","Ahahacik","Jungle","Jungle","Xin Zhao","Lee Sin","1","3","3","4","10","3","177","184","11761","11442","0.16","0.13","0.58","0.43","7","19","7","11","14","30","4","1","1","4","1","1","1","1","BYG"
"Match2","BYGvsUOL2","BYG","Maoan","UOL","Nomanz","Mid","Mid","Ryze","Orianna","4","5","4","2","2","4","356","367","15558","16052","0.23","0.3","0.32","0.64","24","11","6","13","30","24","4","1","1","4","1","1","1","1","BYG"
"Match2","BYGvsUOL2","BYG","Doggo","UOL","Argonavt","Adc","Adc","Draven","Senna","10","1","2","3","4","9","353","58","20546","9554","0.38","0.16","0.74","0.71","15","35","5","16","20","51","4","1","1","4","1","1","1","1","BYG"
"Match2","BYGvsUOL2","BYG","Kino","UOL","Santas","Support","Support","Rakan","Wukong","0","0","5","4","9","7","41","200","9304","10354","0.06","0.11","0.47","0.5","49","16","15","8","64","24","4","1","1","4","1","1","1","1","BYG"
"Match11","DFMvsGS","DFM","Evi","GS","Crazy","Top","Top","Urgot","Jayce","4","0","1","3","5","1","194","217","10411","9273","0.13","0.31","0.53","0.5","12","12","10","2","22","14","4","0","0","4","1","0","0","1","DFM"
"Match11","DFMvsGS","DFM","Steal","GS","Mojito","Jungle","Jungle","Xin Zhao","Lee Sin","5","0","1","4","6","1","157","149","10640","7629","0.2","0.11","0.65","0.5","10","14","15","2","25","16","4","0","0","4","1","0","0","1","DFM"
"Match11","DFMvsGS","DFM","Aria","GS","Bolulu","Mid","Mid","Zoe","Azir","1","0","0","1","5","0","226","260","10342","9831","0.25","0.24","0.35","0","15","13","2","2","17","15","4","0","0","4","1","0","0","1","DFM"
"Match11","DFMvsGS","DFM","Yutapon","GS","Alive","Adc","Adc","Aphelios","Lucian","4","0","0","5","10","1","258","229","13694","8665","0.32","0.23","0.82","0.5","11","11","9","4","20","15","4","0","0","4","1","0","0","1","DFM"
"Match11","DFMvsGS","DFM","Gaeng","GS","Zergsting","Support","Support","Thresh","Nami","3","2","0","4","13","0","25","16","8059","6332","0.09","0.11","0.94","1","35","47","4","14","39","61","4","0","0","4","1","0","0","1","DFM"
"Match4","BYGvsC9","BYG","Liang","C9","Fudge","Top","Top","Lillia","Malphite","3","4","4","2","6","14","283","259","13410","14836","0.21","0.18","0.56","0.69","18","14","9","6","27","20","1","4","4","1","0","2","2","0","C9"
"Match4","BYGvsC9","BYG","Husha","C9","Blaber","Jungle","Jungle","Graves","Lee Sin","4","4","6","3","7","8","267","242","13745","13933","0.2","0.16","0.69","0.46","10","18","11","11","21","29","1","4","4","1","0","2","2","0","C9"
"Match4","BYGvsC9","BYG","Maoan","C9","Perkz","Mid","Mid","Yone","Sylas","2","6","5","4","8","8","279","353","13718","16803","0.15","0.27","0.63","0.54","9","17","9","5","18","22","1","4","4","1","0","2","2","0","C9"
"Match4","BYGvsC9","BYG","Doggo","C9","Zven","Adc","Adc","Miss Fortune","Ezreal","7","9","4","1","7","5","360","390","16722","19588","0.36","0.33","0.88","0.54","15","15","17","10","32","25","1","4","4","1","0","2","2","0","C9"
"Match4","BYGvsC9","BYG","Kino","C9","Vulcan","Support","Support","Amumu","Leona","0","3","7","5","11","15","30","50","7551","10167","0.08","0.06","0.69","0.69","62","65","7","20","69","85","1","4","4","1","0","2","2","0","C9"
"Match15","HLEvsRED","HLE","Morgan","RED","Guigo","Top","Top","Camille","Jax","4","3","4","5","7","3","223","199","12527","10088","0.19","0.24","0.52","0.6","11","15","7","7","18","22","4","0","0","4","1","0","0","1","HLE"
"Match15","HLEvsRED","HLE","Willer","RED","Aegis","Jungle","Jungle","Taliyah","Xin Zhao","4","1","2","5","9","4","198","165","11384","8298","0.21","0.23","0.62","0.5","14","11","14","6","28","17","4","0","0","4","1","0","0","1","HLE"
"Match15","HLEvsRED","HLE","Chovy","RED","Grevthar","Mid","Mid","Sylas","Twisted Fate","1","3","0","4","10","6","261","162","12644","9783","0.28","0.19","0.52","0.9","10","12","11","3","21","15","4","0","0","4","1","0","0","1","HLE"
